id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,date,velocity_km_s,miss_distance_km,classType_FLR,halfAngle_CME,speed_CME,type_CME,TEMP,SLP,WDSP,MXSPD,GUST,MAX,MIN
54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,2024-01-04,20.3051702926,67952893.52446672,M3.8,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,2024-01-04,20.3051702926,67952893.52446672,M3.8,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,2024-01-04,20.3051702926,67952893.52446672,M3.8,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54244177,(2022 BR6),26.66,0.0123752784,0.0276719637,2024-01-04,20.3051702926,67952893.52446672,M3.8,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M1.1,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M1.1,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M1.1,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M1.1,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M3.8,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M3.8,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M3.8,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54377575,(2023 QC2),26.1,0.0160160338,0.0358129403,2024-01-04,5.3787687289,66150221.23922232,M3.8,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M1.1,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M1.1,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M1.1,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M1.1,10.0,384.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M3.8,45.0,732.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M3.8,22.0,893.0,C,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
54416724,(2023 XX12),24.68,0.0308003021,0.0688715693,2024-01-04,6.9135062905,8493706.117642956,M3.8,40.0,364.0,S,20.6,1035.3,13.1,17.5,29.3,23.2,20.1
